time_s,duty_permille,duty_ratio,encoder_count,delta_count,rpm,rad_per_second,sample_time_s,host_time_s
3.55,600,0.6,63874,-24,-184.615,-19.332,0.0499999999999998,5.1499423
3.6,600,0.6,63851,-23,-176.923,-18.527,0.0499999999999998,5.1792038
3.65,600,0.6,63827,-24,-184.615,-19.332,0.0500000000000003,5.2425041
3.7,600,0.6,63804,-23,-176.923,-18.527,0.0499999999999998,5.2702713
3.75,600,0.6,63780,-24,-184.615,-19.332,0.0500000000000003,5.3292924
3.8,600,0.6,63757,-23,-176.923,-18.527,0.0499999999999998,5.3654598
3.85,600,0.6,63733,-24,-184.615,-19.332,0.0499999999999998,5.4263223
3.9,600,0.6,63710,-23,-176.923,-18.527,0.0500000000000003,5.5136296
3.95,600,0.6,63686,-24,-184.615,-19.332,0.0499999999999998,5.5251071
4,600,0.6,63663,-23,-176.923,-18.527,0.0499999999999998,5.6022667
4.05,600,0.6,63639,-24,-184.615,-19.332,0.0499999999999998,5.62496
4.1,600,0.6,63616,-23,-176.923,-18.527,0.0500000000000007,5.7095588
4.15,600,0.6,63592,-24,-184.615,-19.332,0.0499999999999998,5.7162645
4.2,600,0.6,63568,-24,-184.615,-19.332,0.0499999999999998,5.8112607
4.25,600,0.6,63544,-24,-184.615,-19.332,0.0499999999999998,5.8292471
4.3,600,0.6,63520,-24,-184.615,-19.332,0.0500000000000007,5.9058247
4.35,600,0.6,63497,-23,-176.923,-18.527,0.0499999999999998,5.9231664
4.4,600,0.6,63473,-24,-184.615,-19.332,0.0499999999999998,6.0096381
4.45,600,0.6,63450,-23,-176.923,-18.527,0.0499999999999998,6.0177526
4.5,600,0.6,63426,-24,-184.615,-19.332,0.0499999999999998,6.0913289
4.55,600,0.6,63402,-24,-184.615,-19.332,0.0500000000000007,6.125243
4.6,600,0.6,63378,-24,-184.615,-19.332,0.0499999999999998,6.1838603
4.65,600,0.6,63355,-23,-176.923,-18.527,0.0499999999999998,6.2250842
4.7,600,0.6,63332,-23,-176.923,-18.527,0.0499999999999998,6.2718169
4.75,600,0.6,63308,-24,-184.615,-19.332,0.0499999999999998,6.3178999
4.8,600,0.6,63284,-24,-184.615,-19.332,0.0500000000000007,6.3651782
4.85,600,0.6,63261,-23,-176.923,-18.527,0.0499999999999998,6.4483061
4.9,600,0.6,63237,-24,-184.615,-19.332,0.0499999999999998,6.4792832
4.95,600,0.6,63214,-23,-176.923,-18.527,0.0499999999999998,6.5363704
5,600,0.6,63190,-24,-184.615,-19.332,0.0499999999999998,6.5722685
5.05,600,0.6,63166,-24,-184.615,-19.332,0.0500000000000007,6.6295954
5.1,600,0.6,63142,-24,-184.615,-19.332,0.0499999999999998,6.6660426
5.15,600,0.6,63119,-23,-176.923,-18.527,0.0499999999999998,6.721713
5.2,600,0.6,63095,-24,-184.615,-19.332,0.0499999999999998,6.8087341
5.25,600,0.6,63071,-24,-184.615,-19.332,0.0499999999999998,6.823874
5.3,600,0.6,63048,-23,-176.923,-18.527,0.0500000000000007,6.8989221
5.35,600,0.6,63024,-24,-184.615,-19.332,0.0499999999999998,6.9170734
5.4,600,0.6,63000,-24,-184.615,-19.332,0.0499999999999998,6.9895106
5.45,600,0.6,62977,-23,-176.923,-18.527,0.0499999999999998,7.0301233
5.5,600,0.6,62954,-23,-176.923,-18.527,0.0499999999999998,7.0916251
5.55,600,0.6,62930,-24,-184.615,-19.332,0.0500000000000007,7.1295313
5.6,600,0.6,62906,-24,-184.615,-19.332,0.0499999999999998,7.1944647
5.65,600,0.6,62883,-23,-176.923,-18.527,0.0499999999999998,7.2240174
5.7,600,0.6,62859,-24,-184.615,-19.332,0.0499999999999998,7.2705338
5.75,600,0.6,62836,-23,-176.923,-18.527,0.0499999999999998,7.3566604
5.8,600,0.6,62812,-24,-184.615,-19.332,0.0500000000000007,7.3749755
5.85,600,0.6,62788,-24,-184.615,-19.332,0.0499999999999998,7.4449092
5.9,600,0.6,62765,-23,-176.923,-18.527,0.0499999999999998,7.4751489
5.95,600,0.6,62741,-24,-184.615,-19.332,0.0499999999999998,7.5342095
6,600,0.6,62717,-24,-184.615,-19.332,0.0499999999999998,7.566987
6.05,600,0.6,62693,-24,-184.615,-19.332,0.0500000000000007,7.6294902
6.1,600,0.6,62670,-23,-176.923,-18.527,0.0499999999999998,7.7142817
6.15,600,0.6,62646,-24,-184.615,-19.332,0.0499999999999998,7.7269247
6.2,600,0.6,62622,-24,-184.615,-19.332,0.0499999999999998,7.8045781
6.25,600,0.6,62599,-23,-176.923,-18.527,0.0499999999999998,7.8199867
6.3,600,0.6,62576,-23,-176.923,-18.527,0.0500000000000007,7.8919119
6.35,600,0.6,62552,-24,-184.615,-19.332,0.0499999999999998,7.9164274
6.4,600,0.6,62528,-24,-184.615,-19.332,0.0499999999999998,7.9839661
6.45,600,0.6,62504,-24,-184.615,-19.332,0.0499999999999998,8.0183723
6.5,600,0.6,62481,-23,-176.923,-18.527,0.0499999999999998,8.0719154
6.55,600,0.6,62458,-23,-176.923,-18.527,0.0500000000000007,8.158938
6.6,600,0.6,62434,-24,-184.615,-19.332,0.0499999999999998,8.1759616
6.65,600,0.6,62410,-24,-184.615,-19.332,0.0499999999999998,8.2483581
6.7,600,0.6,62387,-23,-176.923,-18.527,0.0499999999999998,8.2747895
6.75,600,0.6,62363,-24,-184.615,-19.332,0.0499999999999998,8.3350106
6.8,600,0.6,62339,-24,-184.615,-19.332,0.0500000000000007,8.3693147
6.85,600,0.6,62315,-24,-184.615,-19.332,0.0499999999999998,8.4283995
6.9,600,0.6,62292,-23,-176.923,-18.527,0.0499999999999998,8.4680232
6.95,600,0.6,62268,-24,-184.615,-19.332,0.0499999999999998,8.5174611
